         x          y
0.40000000 0.00000000
0.39969468 0.01562500
0.39877740 0.03125000
0.39724389 0.04687500
0.39508699 0.06250000
0.39229640 0.07812500
0.39062500 0.08609353
0.38885849 0.09375000
0.38475588 0.10937500
0.37996707 0.12500000
0.37500000 0.13919402
0.37446574 0.14062500
0.36821995 0.15625000
0.36119103 0.17187500
0.35937500 0.17564051
0.35333234 0.18750000
0.34458704 0.20312500
0.34375000 0.20453830
0.33488567 0.21875000
0.32812500 0.22876620
0.32414250 0.23437500
0.31250000 0.24968727
0.31224986 0.25000000
0.29907079 0.26562500
0.29687500 0.26807691
0.28442647 0.28125000
0.28125000 0.28442650
0.26807688 0.29687500
0.26562500 0.29907080
0.25000000 0.31224987
0.24968726 0.31250000
0.23437500 0.32414247
0.22876617 0.32812500
0.21875000 0.33488569
0.20453829 0.34375000
0.20312500 0.34458702
0.18750000 0.35333232
0.17564057 0.35937500
0.17187500 0.36119103
0.15625000 0.36821994
0.14062500 0.37446573
0.13919404 0.37500000
0.12500000 0.37996709
0.10937500 0.38475589
0.09375000 0.38885847
0.08609347 0.39062500
0.07812500 0.39229639
0.06250000 0.39508701
0.04687500 0.39724390
0.03125000 0.39877741
0.01562500 0.39969471
0.00000000 0.39999998
-0.01562500 0.39969468
-0.03125000 0.39877740
-0.04687500 0.39724390
-0.06250000 0.39508698
-0.07812500 0.39229642
-0.08609357 0.39062500
-0.09375000 0.38885850
-0.10937500 0.38475588
-0.12500000 0.37996707
-0.13919405 0.37500000
-0.14062500 0.37446575
-0.15625000 0.36821993
-0.17187500 0.36119104
-0.17564050 0.35937500
-0.18750000 0.35333233
-0.20312500 0.34458703
-0.20453834 0.34375000
-0.21875000 0.33488567
-0.22876619 0.32812500
-0.23437500 0.32414247
-0.24968730 0.31250000
-0.25000000 0.31224987
-0.26562500 0.29907079
-0.26807689 0.29687500
-0.28125000 0.28442646
-0.28442648 0.28125000
-0.29687500 0.26807687
-0.29907082 0.26562500
-0.31224990 0.25000000
-0.31250000 0.24968726
-0.32414246 0.23437500
-0.32812500 0.22876617
-0.33488569 0.21875000
-0.34375000 0.20453832
-0.34458701 0.20312500
-0.35333232 0.18750000
-0.35937500 0.17564052
-0.36119106 0.17187500
-0.36821993 0.15625000
-0.37446575 0.14062500
-0.37500000 0.13919410
-0.37996709 0.12500000
-0.38475590 0.10937500
-0.38885848 0.09375000
-0.39062500 0.08609348
-0.39229640 0.07812500
-0.39508699 0.06250000
-0.39724392 0.04687500
-0.39877742 0.03125000
-0.39969469 0.01562500
-0.39999997 0.00000000
-0.39969469 -0.01562500
-0.39877742 -0.03125000
-0.39724392 -0.04687500
-0.39508699 -0.06250000
-0.39229640 -0.07812500
-0.39062500 -0.08609348
-0.38885848 -0.09375000
-0.38475590 -0.10937500
-0.37996709 -0.12500000
-0.37500000 -0.13919410
-0.37446575 -0.14062500
-0.36821993 -0.15625000
-0.36119106 -0.17187500
-0.35937500 -0.17564052
-0.35333232 -0.18750000
-0.34458701 -0.20312500
-0.34375000 -0.20453832
-0.33488569 -0.21875000
-0.32812500 -0.22876617
-0.32414246 -0.23437500
-0.31250000 -0.24968726
-0.31224990 -0.25000000
-0.29907082 -0.26562500
-0.29687500 -0.26807687
-0.28442648 -0.28125000
-0.28125000 -0.28442646
-0.26807689 -0.29687500
-0.26562500 -0.29907079
-0.25000000 -0.31224987
-0.24968730 -0.31250000
-0.23437500 -0.32414247
-0.22876619 -0.32812500
-0.21875000 -0.33488567
-0.20453834 -0.34375000
-0.20312500 -0.34458703
-0.18750000 -0.35333233
-0.17564050 -0.35937500
-0.17187500 -0.36119104
-0.15625000 -0.36821993
-0.14062500 -0.37446575
-0.13919405 -0.37500000
-0.12500000 -0.37996707
-0.10937500 -0.38475588
-0.09375000 -0.38885850
-0.08609357 -0.39062500
-0.07812500 -0.39229642
-0.06250000 -0.39508698
-0.04687500 -0.39724390
-0.03125000 -0.39877740
-0.01562500 -0.39969468
0.00000000 -0.39999998
0.01562500 -0.39969471
0.03125000 -0.39877741
0.04687500 -0.39724390
0.06250000 -0.39508701
0.07812500 -0.39229639
0.08609347 -0.39062500
0.09375000 -0.38885847
0.10937500 -0.38475589
0.12500000 -0.37996709
0.13919404 -0.37500000
0.14062500 -0.37446573
0.15625000 -0.36821994
0.17187500 -0.36119103
0.17564057 -0.35937500
0.18750000 -0.35333232
0.20312500 -0.34458702
0.20453829 -0.34375000
0.21875000 -0.33488569
0.22876617 -0.32812500
0.23437500 -0.32414247
0.24968726 -0.31250000
0.25000000 -0.31224987
0.26562500 -0.29907080
0.26807688 -0.29687500
0.28125000 -0.28442650
0.28442647 -0.28125000
0.29687500 -0.26807691
0.29907079 -0.26562500
0.31224986 -0.25000000
0.31250000 -0.24968727
0.32414250 -0.23437500
0.32812500 -0.22876620
0.33488567 -0.21875000
0.34375000 -0.20453830
0.34458704 -0.20312500
0.35333234 -0.18750000
0.35937500 -0.17564051
0.36119103 -0.17187500
0.36821995 -0.15625000
0.37446574 -0.14062500
0.37500000 -0.13919402
0.37996707 -0.12500000
0.38475588 -0.10937500
0.38885849 -0.09375000
0.39062500 -0.08609353
0.39229640 -0.07812500
0.39508699 -0.06250000
0.39724389 -0.04687500
0.39877740 -0.03125000
0.39969468 -0.01562500
