         x          y
0.40000000 0.00000000
0.37996700 0.12500000
0.37500000 0.13919400
0.31225000 0.25000000
0.25000000 0.31225000
0.13919400 0.37500000
0.12500000 0.37996700
0.00000000 0.40000000
-0.12500000 0.37996700
-0.13919400 0.37500000
-0.25000000 0.31225000
-0.31225000 0.25000000
-0.37500000 0.13919400
-0.37996700 0.12500000
-0.40000000 0.00000000
-0.37996700 -0.12500000
-0.37500000 -0.13919400
-0.31225000 -0.25000000
-0.25000000 -0.31225000
-0.13919400 -0.37500000
-0.12500000 -0.37996700
0.00000000 -0.40000000
0.12500000 -0.37996700
0.13919400 -0.37500000
0.25000000 -0.31225000
0.31225000 -0.25000000
0.37500000 -0.13919400
0.37996700 -0.12500000
