-9,9659;46,1202;6,2314
-9,8019;46,0673;6,5978
-9,3286;46,4447;6,5964
-9,5989;46,4928;6,0826
-10,1692;46,1698;5,7823
-9,8235;46,5474;5,5914
-10,3102;45,8005;6,3062
-10,1616;45,7674;6,6145
-10,4920;45,8363;5,9144
-10,5338;46,2778;4,8516
-10,3625;46,2228;5,3148
-10,0225;46,6061;5,1031
-10,1905;46,6667;4,6320
-10,8561;45,9184;5,0328
-10,6798;45,8760;5,4799
-10,9532;45,5786;5,6018
-11,1348;45,6058;5,1740
-11,3473;45,3571;5,2738
-11,1612;45,3439;5,6842
-10,7660;45,5546;6,0074
-10,9725;45,3337;6,0676
-10,4486;45,5154;6,6350
-10,5916;45,5335;6,3616
-10,7984;45,3254;6,3987
-10,6560;45,3177;6,6525
-8,6482;47,7245;5,1640
-8,3979;47,7230;5,5713
-8,1815;48,0197;5,3105
-8,4245;48,0201;4,9117
-8,8737;47,7390;4,7343
-8,6458;48,0269;4,4979
-8,9289;47,3455;5,4734
-8,6684;47,3431;5,8926
-9,1583;47,3718;5,0212
-9,2426;47,7895;3,8617
-9,0725;47,7621;4,2958
-8,8433;48,0381;4,0780
-9,0152;48,0517;3,6604
-9,5266;47,4518;4,1092
-9,3582;47,4092;4,5609
-9,6813;47,0127;4,8409
-9,8486;47,0678;4,3752
-9,4807;46,9613;5,3223
-8,9749;46,9157;6,2400
-9,2496;46,9181;5,8048
-7,9566;47,1417;7,1641
-8,1307;46,8690;7,3861
-7,8080;46,8977;7,6822
-7,6353;47,1647;7,4702
-7,7442;47,4638;6,8951
-7,4249;47,4801;7,2129
-8,2922;47,0798;6,8720
-8,4799;46,7864;7,1165
-8,0623;47,4256;6,5803
-7,3384;48,0491;6,3883
-7,5270;47,7836;6,6222
-7,2101;47,7931;6,9513
-7,0239;48,0529;6,7265
-7,6371;48,0391;6,0433
-7,8333;47,7623;6,2896
-8,1249;47,7388;5,9429
-7,9185;48,0276;5,6859
-8,3749;47,3776;6,2539
-8,8614;46,6531;6,8632
-8,6437;46,9871;6,5799
-6,7191;46,9852;8,5389
-6,9500;46,6533;8,7909
-6,6702;46,4441;9,2824
-6,3804;46,9128;8,8873
-6,4533;47,3733;8,2300
-6,0911;47,3381;8,5439
-7,0238;47,0786;8,1622
-7,2213;46,7868;8,3845
-6,7877;47,4225;7,8910
-5,9834;48,0194;7,7069
-6,1972;47,7323;7,9428
-5,8194;47,7162;8,2413
-5,5961;48,0116;8,0001
-6,3488;48,0325;7,3924
-6,5510;47,7573;7,6216
-6,8867;47,7809;7,2878
-6,6949;48,0455;7,0634
-7,1088;47,4622;7,5484
-7,5061;46,8693;8,0150
-7,3268;47,1411;7,8044
-6,4121;45,5294;10,5729
-6,6595;45,5125;10,4406
-6,6689;45,3145;10,6523
-6,4317;45,3217;10,7876
-6,0875;45,5481;10,7361
-6,1194;45,3290;10,9543
-6,3790;45,7961;10,2804
-6,6504;45,7652;10,1465
-6,0290;45,8282;10,4472
-5,2967;45,5896;11,0967
-5,7082;45,5684;10,9156
-5,7528;45,3372;11,1377
-5,3528;45,3470;11,3231
-5,2060;45,8960;10,8013
-5,6310;45,8621;10,6249
-5,5094;46,2063;10,2893
-5,0715;46,2506;10,4623
-4,8838;46,6382;10,1050
-5,3315;46,5890;9,9328
-5,9327;46,1606;10,1074
-5,7756;46,5379;9,7435
-6,6484;46,0660;9,7759
-6,3294;46,1159;9,9220
-6,2120;46,4884;9,5358
-3,3970;47,1363;10,1634
-3,6525;46,7458;10,5081
-3,3702;46,7626;10,5875
-3,1145;47,1488;10,2440
-3,1047;47,5050;9,8461
-2,8111;47,5134;9,9272
-3,7624;47,1136;10,0518
-4,0171;46,7183;10,3978
-3,4822;47,4869;9,7337
-2,5311;48,0845;9,3412
-2,7921;47,8331;9,5654
-2,4645;47,8413;9,6432
-2,0356;48,1295;9,3863
-2,9787;48,0660;9,2363
-3,2064;47,8140;9,4567
-3,6422;47,7978;9,3133
-3,4238;48,0568;9,0911
-3,8683;48,0498;8,9159
-4,0897;47,7803;9,1433
-3,9071;47,4635;9,5927
-4,3568;47,4343;9,4285
-4,4366;46,6819;10,2618
-4,1835;47,0821;9,9140
-4,6335;47,0432;9,7548
-11,2150;41,2512;3,5921
-11,3019;41,2571;3,3201
-11,0537;40,0939;3,1019
-10,9681;40,0890;3,3780
