356362	7518320	3469.060059
356450	7518270	3476.370117
356538	7518220	3483.810059
356626	7518180	3489.850098
356713	7518130	3495.52002
356801	7518080	3498.98999
356889	7518030	3508.459961
356889	7518030	3508.459961
356889	7518030	3508.459961
356977	7517980	3524.370117
356977	7517980	3524.370117
357064	7517940	3538.22998
357152	7517890	3548.959961
357240	7517840	3563.26001
357328	7517790	3582
357415	7517740	3578.959961
357503	7517700	3587.469971
357591	7517650	3604.600098
357678	7517600	3627.649902
357766	7517550	3644.830078
357854	7517500	3668.72998
357942	7517460	3694.77002
358029	7517410	3711.060059
358117	7517360	3713.27002
358205	7517310	3704.090088
358293	7517260	3689.709961
358380	7517220	3675.429932
358468	7517170	3657.419922
358556	7517120	3631.97998
358644	7517070	3607.449951
358731	7517020	3587.610107
358819	7516980	3570.389893
358907	7516930	3557.790039
358994	7516880	3545.080078
359082	7516830	3530.370117
359170	7516780	3521.199951
359258	7516740	3513.389893
359345	7516690	3507.360107
352016	7520580	3636.23999
352103	7520540	3641.159912
352191	7520490	3642.159912
352279	7520440	3639.790039
352367	7520390	3635.22998
352454	7520340	3629.719971
352542	7520300	3624.340088
352630	7520250	3619.959961
352718	7520200	3617.060059
352805	7520150	3615.800049
352893	7520100	3615.790039
352981	7520060	3615.860107
353068	7520010	3617.330078
353156	7519960	3618.27002
353244	7519910	3617.149902
353332	7519860	3612.97998
353419	7519820	3605.719971
353507	7519770	3596.129883
353595	7519720	3585.27002
353683	7519670	3587.75
353770	7519620	3581.090088
353858	7519580	3565.439941
353946	7519530	3544.699951
354033	7519480	3523.350098
354121	7519430	3504.280029
354209	7519380	3488.320068
354297	7519340	3474.669922
354384	7519290	3461.98999
354472	7519240	3448.469971
354560	7519190	3437.26001
354648	7519140	3436.350098
354735	7519100	3433.560059
354823	7519050	3426.889893
354911	7519000	3416.030029
354999	7518950	3402.98999
355086	7518900	3392.689941
355174	7518860	3385.060059
355262	7518810	3377.76001
355349	7518760	3371.070068
355437	7518710	3361.080078
355525	7518660	3350.199951
355613	7518620	3346.820068
355700	7518570	3351.909912
355788	7518520	3360.280029
355876	7518470	3382.790039
355964	7518420	3400.449951
356051	7518380	3426.620117
356139	7518330	3442.659912
356227	7518280	3455.060059
356314	7518230	3464.550049
356402	7518180	3475.550049
356490	7518140	3484.810059
356578	7518090	3488.51001
356665	7518040	3490.879883
356753	7517990	3492.02002
356841	7517940	3507.004883
356841	7517940	3507.004883
356841	7517940	3507.004883
356929	7517900	3525.340088
357016	7517850	3536.790039
